letter,count_all,count_uppercase,percentage
A,12,12,1.95
B,2,2,0.33
C,16,16,2.61
D,2,2,0.33
E,1,1,0.16
G,3,3,0.49
L,3,3,0.49
M,1,1,0.16
N,6,6,0.98
P,6,6,0.98
S,5,5,0.81
T,6,6,0.98
U,8,8,1.3
W,1,1,0.16
a,54,0,8.79
b,3,0,0.49
c,32,0,5.21
d,22,0,3.58
e,43,0,7.0
f,8,0,1.3
g,11,0,1.79
h,1,0,0.16
i,40,0,6.51
k,2,0,0.33
l,29,0,4.72
m,7,0,1.14
n,59,0,9.61
o,46,0,7.49
p,12,0,1.95
r,38,0,6.19
s,40,0,6.51
t,37,0,6.03
u,19,0,3.09
v,15,0,2.44
w,6,0,0.98
y,18,0,2.93
